evaluations raw_y
3572 -48.0000000000
4937 -42.0000000000
5346 -9.0000000000
7213 -3.0000000000
7514 4.0000000000
8765 5.0000000000
13284 6.0000000000
100000 6.0000000000
evaluations raw_y
1 -335.0000000000
3 -329.0000000000
8 -308.0000000000
31 -255.0000000000
41 -208.0000000000
63 -188.0000000000
216 -167.0000000000
1123 -101.0000000000
2482 -93.0000000000
2533 -80.0000000000
3173 -62.0000000000
3505 -54.0000000000
4586 -42.0000000000
4692 -35.0000000000
5026 -34.0000000000
5209 -15.0000000000
5992 -9.0000000000
6345 -8.0000000000
6822 -3.0000000000
7173 -2.0000000000
7215 4.0000000000
7306 6.0000000000
100000 -8.0000000000
evaluations raw_y
1 -396.0000000000
4 -362.0000000000
12 -282.0000000000
21 -255.0000000000
38 -208.0000000000
179 -161.0000000000
1151 -148.0000000000
1322 -141.0000000000
1931 -88.0000000000
3443 -68.0000000000
3816 -41.0000000000
4885 -28.0000000000
5680 -22.0000000000
6009 -15.0000000000
6790 -8.0000000000
7194 -2.0000000000
8017 2.0000000000
8045 4.0000000000
8786 5.0000000000
35515 6.0000000000
44483 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -571.0000000000
2 -356.0000000000
3 -335.0000000000
12 -322.0000000000
17 -248.0000000000
37 -194.0000000000
207 -188.0000000000
239 -141.0000000000
425 -134.0000000000
829 -128.0000000000
1172 -121.0000000000
2143 -115.0000000000
2328 -108.0000000000
2483 -54.0000000000
3116 -48.0000000000
4136 -35.0000000000
4633 -28.0000000000
4871 -8.0000000000
6550 -3.0000000000
6655 -2.0000000000
7004 -1.0000000000
7166 4.0000000000
8248 5.0000000000
10099 6.0000000000
14185 7.0000000000
100000 7.0000000000
evaluations raw_y
1 -396.0000000000
5 -349.0000000000
6 -248.0000000000
20 -235.0000000000
128 -234.0000000000
176 -228.0000000000
216 -221.0000000000
377 -154.0000000000
1110 -134.0000000000
1888 -128.0000000000
2134 -94.0000000000
2926 -88.0000000000
2955 -87.0000000000
3035 -68.0000000000
3782 -61.0000000000
3839 -48.0000000000
4842 -34.0000000000
5525 -22.0000000000
5696 -21.0000000000
6346 -16.0000000000
6415 -15.0000000000
6728 -2.0000000000
7413 -1.0000000000
7870 3.0000000000
8334 5.0000000000
11886 6.0000000000
100000 6.0000000000
evaluations raw_y
1 -235.0000000000
53 -228.0000000000
131 -215.0000000000
462 -208.0000000000
527 -188.0000000000
807 -154.0000000000
1635 -134.0000000000
2448 -121.0000000000
2628 -114.0000000000
3024 -74.0000000000
3547 -67.0000000000
3896 -35.0000000000
4560 -29.0000000000
5703 -17.0000000000
6528 -16.0000000000
